created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Oct 18 08:52:56 +0000 2023,1.71E+23,Ganjar ditemani oleh sejumlah seniman Tanah Air berkunjung ke kediaman kartaredjasa.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/Nl52Fh4tax,0,0,1,2,in,1.67E+23,1.71E+23,ChessyEttr77807,https://twitter.com/ChessyEttr77807/status/1714565211112505626
Wed Oct 18 08:52:44 +0000 2023,1.71E+23,@strssovrld mantap #GanjarMahfud2024,0,0,0,0,in,1.70E+23,1.71E+23,Saa104945,https://twitter.com/Saa104945/status/1714565161871454468
Wed Oct 18 08:52:40 +0000 2023,1.71E+23,Ganjar berkunjung ke kediamam Butet Kartaredjasa karena rindu dengan makanannya.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/8O9YmizuqF,0,0,1,1,in,1.67E+23,1.71E+23,AClemira19958,https://twitter.com/AClemira19958/status/1714565146176340117
Wed Oct 18 08:52:24 +0000 2023,1.71E+23,Ganjar Pranowo berkunjung ke kediaman sastrawan Butet Kartaredjasa.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/983e2doRre,0,0,1,2,in,1.67E+22,1.71E+23,IsbahJalyl62580,https://twitter.com/IsbahJalyl62580/status/1714565076848619981
Wed Oct 18 08:52:03 +0000 2023,1.71E+23,Ganjar menekankan pentingnya peralatan teknis sebagai pendukung metode pengajaran industri.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/yQvGUa3NOD,0,0,1,3,in,1.67E+23,1.71E+23,NisaPalwas83950,https://twitter.com/NisaPalwas83950/status/1714564989665923512
Wed Oct 18 08:51:41 +0000 2023,1.71E+23,Ganjar berkomitmen tingkatkan prestasi dan daya saing SDM Indonesia.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/vOEAphGiRu,0,0,1,2,in,1.67E+23,1.71E+23,JaaIzah83365,https://twitter.com/JaaIzah83365/status/1714564899207332154
Wed Oct 18 08:51:36 +0000 2023,1.71E+23,@ciluqba_ semangat pak ganjar dan pak mahfud #GanjarMahfud2024,0,0,0,0,in,1.34E+23,1.71E+23,geminicantik20,https://twitter.com/geminicantik20/status/1714564877145227646
Wed Oct 18 08:51:26 +0000 2023,1.71E+23,PAK MAHFUD  Semoga menjadi tauladan para pemilih pemuda #GanjarMahfud2024,0,0,0,0,in,1.37E+23,1.71E+23,titinhijab,https://twitter.com/titinhijab/status/1714564836557009113
Wed Oct 18 08:51:24 +0000 2023,1.71E+23,Ganjar memotivasi masyarakat untuk mengadopsi gaya hidup sehat.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/ukIBfrFdOF,0,0,1,3,in,1.67E+23,1.71E+23,AliyahDaem8728,https://twitter.com/AliyahDaem8728/status/1714564826285191391
Wed Oct 18 08:51:21 +0000 2023,1.71E+23,"@strssovrld semangat pak Ganjar dan pak Mahfud, sukses pemilu 2024 ,dan sukses teruss #GanjarMahfud2024",0,0,0,0,in,1.70E+23,1.71E+23,EvenRevan47600,https://twitter.com/EvenRevan47600/status/1714564813878403272
Wed Oct 18 08:51:05 +0000 2023,1.71E+23,@strssovrld semoga segala prosesnya dilancarkan sehingga niat baik dapat terwujud #GanjarMahfud2024,0,0,0,0,in,1.70E+23,1.71E+23,shannonacasa,https://twitter.com/shannonacasa/status/1714564745368666344
Wed Oct 18 08:51:07 +0000 2023,1.71E+23,Ganjar diskusikan isu kesehatan dalam pertemuan dengan ratusan pengusaha.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/hghAdpewU6,0,0,1,5,in,1.67E+23,1.71E+23,IKazhal88016,https://twitter.com/IKazhal88016/status/1714564755418161660
Wed Oct 18 08:51:07 +0000 2023,1.71E+23,"@nona_vonee @strazge duet maut idamanku idolaku sih inii, cocok bangett!!! #GanjarMahfud2024  ini dia yang apati siap maju untuk kesejahteraan rakyatnya",0,0,0,0,in,1.38E+23,1.71E+23,fvrrycat,https://twitter.com/fvrrycat/status/1714564757456650736
Wed Oct 18 08:50:48 +0000 2023,1.71E+23,"Ganjar ungkap, meningkatnya industri kesehatan akan berkontribusi pada perbaikan layanan kesehatan.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/dsB8nK3Wpi",0,0,1,1,in,1.67E+23,1.71E+23,LaynaMahla2138,https://twitter.com/LaynaMahla2138/status/1714564676946927732
Wed Oct 18 08:50:36 +0000 2023,1.71E+23,"Ganjar-Mahfud adalah duet pasangan yang bersih, tegas dan berani. Momok bagi para koruptor di seluruh penjuru negeri! #GanjarMahfud2024 https://t.co/2QKZyxglR9",0,0,0,0,in,1.71E+23,1.71E+23,zifa_auliya,https://twitter.com/zifa_auliya/status/1714564625729991160
Wed Oct 18 08:50:21 +0000 2023,1.71E+23,Ganjar sebut dirinya merasakan makna yang tersirat saat berdiskusi dengan para seniman.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/VvhWO5gkIu,0,0,1,4,in,1.67E+23,1.71E+23,BadeeChess24279,https://twitter.com/BadeeChess24279/status/1714564561452593268
Wed Oct 18 08:49:57 +0000 2023,1.71E+23,@janenuby cocok bgt semangat pak #GanjarMahfud2024,0,0,0,0,in,1.68E+23,1.71E+23,diladeww,https://twitter.com/diladeww/status/1714564462001398266
Wed Oct 18 08:49:54 +0000 2023,1.71E+23,Ganjar sebarkan kasih sayang dan kebaikan kepada penyandang disabilitas.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/NwOrNDCc7L,0,0,1,4,in,1.67E+23,1.71E+23,GhaisHumai61454,https://twitter.com/GhaisHumai61454/status/1714564449548534138
Wed Oct 18 08:49:51 +0000 2023,1.71E+23,Wajarlah. Diakan Kader PDIP. Kabarnya Pak Prabowo sdh gak minat gandeng Gibran jadi Cawapres.  Sandiaga Uno Prabowo #GanjarMahfud2024 #BreakingNews Pasangan https://t.co/W6ekzUpVMJ,0,0,0,1,in,9.51E+21,1.71E+23,Bilgiss087,https://twitter.com/Bilgiss087/status/1714564435845763166
Wed Oct 18 08:49:43 +0000 2023,1.71E+23,"@janenuby Semoga bisa menjadi pemimpin yg amanah,membawa perubahan dan kesejahteraan buat indonesia #GanjarMahfud2024",0,0,0,0,in,1.56E+23,1.71E+23,yayass09,https://twitter.com/yayass09/status/1714564403268636976
Wed Oct 18 08:49:31 +0000 2023,1.71E+23,Ganjar menekankan bahwa generasi muda harus berkarya dan berinovasi.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/SM3WKUDaB7,0,1,2,5,in,1.67E+23,1.71E+23,DaanyyaB17649,https://twitter.com/DaanyyaB17649/status/1714564353155064249
Wed Oct 18 08:49:23 +0000 2023,1.71E+23,@janenuby cocokk! semoga bisa menjalankan amanah rakyat dan menjadi pemimpin yang baikk #GanjarMahfud2024,0,0,0,0,in,1.60E+23,1.71E+23,adya_yy,https://twitter.com/adya_yy/status/1714564320695308420
Wed Oct 18 08:49:02 +0000 2023,1.71E+23,"Mahfud MD dengan sederet pengalaman yang panjang di trias politica, jelas akan semakin membuka jalan kemenangan 2024! #GanjarMahfud2024 https://t.co/1UqxST0U1r",0,0,0,0,in,1.71E+23,1.71E+23,zifa_auliya,https://twitter.com/zifa_auliya/status/1714564233445138739
Wed Oct 18 08:48:56 +0000 2023,1.71E+23,"@janenuby tapi #GanjarMahfud2024 pas banget sih untuk the next 2024 emangg, semoga ajaaaa",0,0,0,0,in,1.56E+23,1.71E+23,alwin0xr,https://twitter.com/alwin0xr/status/1714564205872067049
Wed Oct 18 08:48:54 +0000 2023,1.71E+23,Ganjar mendorong pendidikan inklusif sampai ke tingkat perguruan tinggi.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/99XtcXs74h,0,0,1,1,in,1.67E+23,1.71E+23,AlishbaChe69524,https://twitter.com/AlishbaChe69524/status/1714564195923226771
Wed Oct 18 08:48:51 +0000 2023,1.71E+23,@nona_vonee cocokk! semoga bisa menjalankan amanah rakyat dan menjadi pemimpin yang baikk #GanjarMahfud2024,0,0,0,0,in,1.68E+23,1.71E+23,sleep_nowe,https://twitter.com/sleep_nowe/status/1714564184929898516
Wed Oct 18 08:48:19 +0000 2023,1.71E+23,"Ganjar menuturkan, inklusivitas dalam pendidikan menciptakan lingkunan nilai kemanusiaan.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/rJdIxZ05A9",0,0,1,4,in,1.67E+23,1.71E+23,MLavsha35413,https://twitter.com/MLavsha35413/status/1714564051941134357
Wed Oct 18 08:48:49 +0000 2023,1.71E+23,kader2 pdip kek gini yg bikin pendukung jokowi eneg...contoh lah adian napitupulu bro..  #GanjarMahfud2024,0,0,0,0,in,230397182,1.71E+23,Adek_Sanusi,https://twitter.com/Adek_Sanusi/status/1714564175664648220
Wed Oct 18 08:48:07 +0000 2023,1.71E+23,"Definisi soulmate kayanya nih pasangan Ganjar-Mahfud, sama-sama humble, sederhana dan kerja nya nyata lagi. Mantap jiwaa..   #GanjarMahfud2024 #GanjarPranowo #MahfudMD #Indonesia #pontianak https://t.co/8ilhWaIxjf",0,0,0,0,in,1.58E+23,1.71E+23,TeguhDwiAhmad1,https://twitter.com/TeguhDwiAhmad1/status/1714564002372780259
Wed Oct 18 08:47:46 +0000 2023,1.71E+23,Semakin yakin dan memantapkan pilihan setelah bergabungnya sosok favoritku Mahfud MD dalam barisan Ganjar Pranowo. Mari rapatkan barisan dukung #GanjarMahfud2024 menang!! https://t.co/A3d1lSPbTL,0,0,0,0,in,1.02E+23,1.71E+23,tubinacassava,https://twitter.com/tubinacassava/status/1714563913378091134
Wed Oct 18 08:47:21 +0000 2023,1.71E+23,"Emang boleh semodal dan sebekal itu, Mahfud MD berpengalaman dalam kekuasaan Legislatif, Yudikatif, dan Ekskutif lho. Spill dong pak, gimana biar seintelektual itu?   Cr: Republika  #MahfudMd #Mahfudcawapres #Pemilu2024  #Ganjarmahfud2024 #ganjarpranowo #Cawapres #MenkoPolhukam https://t.co/nThkIFhFmv",0,0,0,0,in,1.70E+23,1.71E+23,agneswjy1,https://twitter.com/agneswjy1/status/1714563808537244139
Wed Oct 18 08:47:34 +0000 2023,1.71E+23,"ORANG BAIK PILIH ORANG BAIK,  Rabu, 18/10/2023, PDIP putuskan Mahfud MD sbg Cawapres.  Ini bkn tentang Ganjar, ini bkn tentang Mahfud, bukan pula tentang kekuatan. Tetapi ini tentang rakyat Indonesia.  Pasangan GAMA Untuk Indonesia Sejahtera. 🤟  #SahabatGanjar #GanjarMahfud2024 https://t.co/w2DeBFVbAP",0,1,2,2,in,1379621808,1.71E+23,journalizm_,https://twitter.com/journalizm_/status/1714563860714402163
Wed Oct 18 08:47:19 +0000 2023,1.71E+23,Ganjar membahas era digital dan pendidikan inklusif untuk seluruh masyarakat Indonesia.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/lRoMDnXLjL,0,0,1,1,in,1.67E+23,1.71E+23,MafazaNady37647,https://twitter.com/MafazaNady37647/status/1714563797393011035
Wed Oct 18 08:47:06 +0000 2023,1.71E+23,"Wahh viral lagi vidio pak Mahfud MD yang ngusir penggugat di ruang sidang, tapii emang beliau sangat dikenal dengan tegasnya dalam berkerja👍 hihi serem ya tapi gpp pak demi keadilan hukum Indonesia!  #poltik #pilpres2024 #mahfudmd #poltik #ganjarmahfud2024 https://t.co/CITmjyysiK",0,0,0,1,in,1.71E+23,1.71E+23,kayllasyif32254,https://twitter.com/kayllasyif32254/status/1714563746658759144
Wed Oct 18 08:47:05 +0000 2023,1.71E+23,Ini tentang Indonesia #GanjarMahfud2024 https://t.co/fAzboM5pkO,0,0,1,2,in,1722511368,1.71E+23,Hasdung_HBS,https://twitter.com/Hasdung_HBS/status/1714563738928623993
Wed Oct 18 08:47:04 +0000 2023,1.71E+23,@strssovrld semangat dan sukses  pak Ganjar dan pak Mahfud #GanjarMahfud2024,0,0,0,0,in,1.71E+23,1.71E+23,Nadkray,https://twitter.com/Nadkray/status/1714563737527738728
Wed Oct 18 08:47:01 +0000 2023,1.71E+23,"@janenuby cawapres dengan kombinasi,mantap emang pasangan top untuk Indonesia maju #GanjarMahfud2024",0,0,0,0,in,1.65E+23,1.71E+23,farisyuda77,https://twitter.com/farisyuda77/status/1714563723359396086
Wed Oct 18 08:46:52 +0000 2023,1.71E+23,Ganjar sebut aspirasi mahasiswa adalah fondasi untuk penegakan hukum yang lebih baik.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/4dlC6tuuAa,0,0,1,2,in,1.67E+23,1.71E+23,KafiyahI93237,https://twitter.com/KafiyahI93237/status/1714563686877286542
Wed Oct 18 08:46:37 +0000 2023,1.71E+23,Alhamdulillah Alhamdulillah Alhamdulillah #GanjarMahfud2024,0,0,0,0,in,1.50E+23,1.71E+23,Lok_Toman,https://twitter.com/Lok_Toman/status/1714563624998781391
Wed Oct 18 08:46:26 +0000 2023,1.71E+23,Ganjar berinteraksi dengan puluhan mahasiswa BEM Malang Raya di RM Parikaton.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/WrPhFqYhXh,0,0,2,6,in,1.67E+23,1.71E+23,MaarifahMa36376,https://twitter.com/MaarifahMa36376/status/1714563579058540613
Wed Oct 18 08:46:12 +0000 2023,1.71E+23,"Ganjar-Mahfud adalah duet pasangan yang paling ideal bagi bangsa ini, karena memiliki rekam jejak yang jelas, bersih, tanpa beban masa lalu. #GanjarMahfud2024 https://t.co/vSv2Vl5PIt",0,0,0,0,in,1.71E+23,1.71E+23,zifa_auliya,https://twitter.com/zifa_auliya/status/1714563517959782414
Wed Oct 18 08:46:07 +0000 2023,1.71E+23,Ganjar berdiskusi produktif dengan BEM Malang mengenai penegakan hukum.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/diJTJ7HxNa,0,0,2,5,in,1.67E+23,1.71E+23,LMansurah14214,https://twitter.com/LMansurah14214/status/1714563498573955108
Wed Oct 18 08:46:06 +0000 2023,1.71E+23,Ayo @PDI_Perjuangan @MediaCellPPP @hanura_official @PartaiPerindo kita lawan Gajah gajah itu  #GanjarMahfud2024 https://t.co/MuPJyOiIJ0,0,0,0,1,in,1722511368,1.71E+23,Hasdung_HBS,https://twitter.com/Hasdung_HBS/status/1714563491892437353
Wed Oct 18 08:45:58 +0000 2023,1.71E+23,Alhamdulillah...panglima hukum akhirnya terpilih jdi cawapres Ganjar...merdekaaaaa   #ganjarmahfud2024 #Pilpres2024 #BreakingNews #GAMA #malang https://t.co/WpczP3V9eC,0,0,0,0,in,1.64E+23,1.71E+23,pramanaadii,https://twitter.com/pramanaadii/status/1714563458350698976
Wed Oct 18 08:45:49 +0000 2023,1.71E+23,"Yaa Allah Terima kasih,  Doa ku di kabulkan..  Prof @mohmahfudmd favorit ku menuju RI2. sosok Tegas,  Berani, Cerdas dan Islami.  Maaf Pak Prabowo,  sekuat apa usaha mu,  Sebanyak apa uang mu,  jk TAKDIR ALLAH tak meridhoi mu,  tetap la jd CAPRES 2029.  Erick  #GanjarMahfud2024 https://t.co/iDdUnpPGYw",0,0,0,0,in,1.61E+23,1.71E+23,RiniNat86338343,https://twitter.com/RiniNat86338343/status/1714563422090858912
Wed Oct 18 08:45:46 +0000 2023,1.71E+23,Ganjar mendapat hadiah lukisan bergambar wajahnya dari Haryoko.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/wjZwvPktVZ,0,0,2,5,in,1.67E+23,1.71E+23,JaimaLaiha30257,https://twitter.com/JaimaLaiha30257/status/1714563411034399145
Wed Oct 18 08:45:34 +0000 2023,1.71E+23,"Deadline dari Boss udah mepet, sementara jalanan macet 😌  #PalestineGenocide | #GanjarMahfud2024 | #AnindyaAstadasa | Mamat | GAMA | Pesta Rakyat Jakarta Pecah | Pasangan | Pak Prabowo | Rabu | #GalaxyS23FE | Inisial M https://t.co/iO6rA8oSAB",0,0,0,0,in,1.68E+23,1.71E+23,tetapsantai0,https://twitter.com/tetapsantai0/status/1714563357368627444
Wed Oct 18 08:45:27 +0000 2023,1.71E+23,"Ganjar ungkap, meningkatnya industri kesehatan akan berkontribusi pada perbaikan layanan kesehatan... Mari rapatkan barisan dukung #GanjarMahfud2024 menang!! https://t.co/hZQMWCKygW",0,0,0,0,in,1.02E+23,1.71E+23,tubinacassava,https://twitter.com/tubinacassava/status/1714563329665229064
Wed Oct 18 08:45:18 +0000 2023,1.71E+23,Ganjar dihadiahi patung bertuliskan Nusantara dalam kunjungannya di rumah Butet Kartaredjasa.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/56KQiRzzBP,0,0,1,3,in,1.67E+23,1.71E+23,JeseniaLai62581,https://twitter.com/JeseniaLai62581/status/1714563293115986238
Wed Oct 18 08:44:54 +0000 2023,1.71E+23,Ganjar berbincang akrab dengan budayawan dan seniman dari Daerah Istimewa Yogyakarta.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/nLGocwYuPu,0,3,1,4,in,1.67E+23,1.71E+23,JameeraKai60320,https://twitter.com/JameeraKai60320/status/1714563192083616081
Wed Oct 18 08:44:31 +0000 2023,1.71E+23,Ganjar sebut generasi muda berperan mewujudkan industri perikanan emlalui ekonomi biru.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/7oIbKeHr8a,0,0,1,3,in,1.67E+23,1.71E+23,JumanaKhai74588,https://twitter.com/JumanaKhai74588/status/1714563094931017767
Wed Oct 18 08:44:26 +0000 2023,1.71E+23,mahkamah keluarga pesta rakyat jakarta pecah SavePalestine hitam pasangan path dora jerman rumah sakit rabu golput inisial m cawapres mamat #GanjarMahfud2024 erick sandiaga uno pak prabowo PDIP sore AnindyaAstadasa gama BreakingNews golkar,0,0,0,0,in,1.69E+23,1.71E+23,yogoha536323,https://twitter.com/yogoha536323/status/1714563071967215932
Wed Oct 18 08:44:15 +0000 2023,1.71E+23,"Jadwal pendaftaran capres-cawapres pada Oktober 2023. Simak informasi daftar bacapres dan bacawapres, siapa wakil Prabowo? (FA)  Tag: Ganjar - Mahfud MD - Anies - Cak Imin - Prabowo #Prabowo2024 #AniesMuhaimin2024 #GanjarMahfud2024 #Pilpres2024 #KPU   https://t.co/cK0rVPmVK3",0,0,0,0,in,1.29E+23,1.71E+23,berita_diy,https://twitter.com/berita_diy/status/1714563028350623874
Wed Oct 18 08:44:12 +0000 2023,1.71E+23,Uwwwww makin yakin deh ini!  Bisa pak gaskeun untuk Indonesia!! @ganjarpranowo &amp  @MahfudMD  #ganjarmahfud2024 #ganjarpranowo #ganjarpresiden #mahfudmd #mahfudcawapres2024 #pilpres2024 #selamatprof #lanjutgan #lanjutkanuntukindonesia https://t.co/RTRRySBsDF,0,0,0,1,in,1.56E+23,1.71E+23,JayaNista,https://twitter.com/JayaNista/status/1714563013125243343
Wed Oct 18 08:44:09 +0000 2023,1.71E+23,Ribuan mahasiswa Malang Raya menyambut kedatangan Ganjar di Universitas Negeri Malang.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/qw6EV80p3n,0,0,1,2,in,1.67E+23,1.71E+23,LaynaMalik28634,https://twitter.com/LaynaMalik28634/status/1714563001284768076
Wed Oct 18 08:44:08 +0000 2023,1.71E+23,GMF Optimalkan MRO Asia Pacific untuk Tingkatkan Profitabilitas https://t.co/KjLxKe1e1y  #BreakingNews  Pasangan  Sandiaga Uno  Mamat  #GanjarMahfud2024 Viral pagii,0,0,0,0,in,1.43E+23,1.71E+23,AKomunikasi,https://twitter.com/AKomunikasi/status/1714562998260625487
Wed Oct 18 08:44:04 +0000 2023,1.71E+23,mahkamah keluarga pesta rakyat jakarta pecah SavePalestine hitam pasangan path dora jerman rumah sakit rabu golput inisial m cawapres mamat #GanjarMahfud2024 erick sandiaga uno pak prabowo PDIP sore AnindyaAstadasa gama BreakingNews golkar,0,0,0,1,in,1.69E+23,1.71E+23,tobexo71536,https://twitter.com/tobexo71536/status/1714562981332484489
Wed Oct 18 08:43:52 +0000 2023,1.71E+23,Ganjar mengajak mahasiswa Malang Raya berkontribusi dalam pengembangan ekonomi berkelanjutan.   #GanjarWujudkanSDMUnggul #GanjarMahfud2024 GAMA Ma'ruf Amin Pasangan Mamat Rumah Sakit HELL NO Dora Rabu The IDF Inisial M Jerman https://t.co/z22AS3UxtH,0,2,1,3,in,1.67E+23,1.71E+23,JameeraLai1749,https://twitter.com/JameeraLai1749/status/1714562929780261084
